,Date,Public Transport Route,Station,Weather Condition,Time of Day,Delay Due to Weather (minutes),Temperature (°C),Rainfall (mm),Wind Speed (km/h),Humidity (%)
1,2019-01-01 00:00:00,No Service,South Wimbledon,Fog,Off-Peak,40,-1,47,23,72
2,2019-01-01 01:00:00,No Service,Waterloo,Wind,Off-Peak,15,6,22,37,60
3,2019-01-01 02:00:00,No Service,New Addington,Clear,Off-Peak,0,20,40,0,56
4,2019-01-01 03:00:00,No Service,East Croydon,Ice,Off-Peak,50,28,9,33,93
5,2019-01-01 04:00:00,Train,Clapham Junction,Wind,Off-Peak,10,8,41,16,92
6,2019-01-01 05:00:00,Tram,East Croydon,Snow,Off-Peak,35,20,29,39,77
7,2019-01-01 06:00:00,Tube,Leicester Square,Fog,Rush Hour,40,21,34,21,60
8,2019-01-01 07:00:00,DLR,Shadwell,Snow,Rush Hour,15,3,24,26,90
9,2019-01-01 08:00:00,Tram,Beckenham Junction,Snow,Rush Hour,35,20,16,14,87
10,2019-01-01 09:00:00,DLR,Poplar,Ice,Off-Peak,35,16,45,14,99
11,2019-01-01 10:00:00,Tram,East Croydon,Wind,Off-Peak,15,24,18,22,97
12,2019-01-01 11:00:00,Tram,Beckenham Junction,Ice,Off-Peak,50,11,17,11,50
13,2019-01-01 12:00:00,Tube,Oxford Circus,Clear,Off-Peak,10,20,17,26,97
14,2019-01-01 13:00:00,Tube,Leicester Square,Rain,Off-Peak,5,30,45,39,64
15,2019-01-01 14:00:00,Tube,Baker Street,Fog,Off-Peak,40,-5,34,8,87
16,2019-01-01 15:00:00,Bus,Liverpool Street,Rain,Rush Hour,5,2,9,28,83
17,2019-01-01 16:00:00,DLR,Tower Gateway,Wind,Rush Hour,20,29,22,36,40
18,2019-01-01 17:00:00,Tram,Elmers End,Wind,Rush Hour,15,9,44,20,83
19,2019-01-01 18:00:00,Tram,Wimbledon,Wind,Off-Peak,15,16,21,0,62
20,2019-01-01 19:00:00,Tram,Wimbledon,Wind,Off-Peak,15,8,43,11,42
21,2019-01-01 20:00:00,Bus,Liverpool Street,Wind,Off-Peak,25,20,8,0,57
22,2019-01-01 21:00:00,Tube,Baker Street,Fog,Off-Peak,50,22,31,26,51
23,2019-01-01 22:00:00,DLR,Canary Wharf,Clear,Off-Peak,0,17,25,23,100
