Date,Temperature (°C),Precipitation (mm),Wind Speed (km/h),Weather Condition,Underground Delays (min),Underground Cancellations (%),Underground Ridership (thousands),Bus Delays (min),Bus Cancellations (%),Bus Ridership (thousands),Overground Delays (min),Overground Cancellations (%),Overground Ridership (thousands),Tram Delays (min),Tram Cancellations (%),Tram Ridership (thousands),DLR Delays (min),DLR Cancellations (%),DLR Ridership (thousands),National Rail Delays (min),National Rail Cancellations (%),National Rail Ridership (thousands)
2019-01-01,5,8,18,Light Rain,4,0,293,6,4,94,9,2,95,5,3,93,9,4,96,6,4,101
2019-01-02,-8,0,24,Clear,2,1,311,1,1,108,1,0,138,5,0,150,3,0,119,1,1,139
2019-01-03,-8,0,15,Light Snow,9,2,238,16,7,128,13,5,120,14,8,127,14,5,108,13,4,103
2019-01-04,-6,12,19,Heavy Snow,13,3,155,26,9,66,23,12,118,22,13,55,30,14,54,24,12,149
2019-01-05,1,0,16,Clear,3,0,289,2,0,127,4,0,130,4,1,101,2,1,119,2,1,123
2019-01-06,-4,0,15,Clear,2,1,313,2,0,101,2,0,147,5,2,134,4,0,142,1,2,123
2019-01-07,-1,11,9,Heavy Snow,11,3,198,29,8,54,30,10,63,22,10,51,26,9,56,29,12,89
2019-01-08,-4,0,11,Clear,1,1,280,2,0,130,2,1,110,4,1,119,1,2,126,2,0,134
2019-01-09,-5,0,15,Clear,1,1,285,4,1,150,5,0,140,5,2,121,3,1,137,3,1,139
2019-01-10,-1,0,28,Clear,2,0,295,4,1,130,5,0,116,2,1,101,3,2,132,4,1,133
2019-01-11,0,1,20,Partly Cloudy,1,1,296,3,0,105,3,0,126,3,1,127,5,2,103,3,1,127
2019-01-12,0,0,7,Partly Cloudy,3,1,296,2,2,140,4,2,145,5,2,130,3,1,140,3,2,103
2019-01-13,0,0,22,Clear,2,1,312,2,2,101,5,2,142,3,1,122,1,2,129,4,2,147
2019-01-14,-2,0,15,Clear,2,0,291,3,1,135,4,0,134,5,1,136,4,0,133,1,1,106
2019-01-15,1,0,8,Clear,2,1,296,2,1,127,4,2,121,4,0,114,1,1,105,4,0,102
