Date,Temperature (°C),Precipitation (mm),Wind Speed (km/h),Weather Condition,Underground Delays (min),Underground Cancellations (%),Underground Ridership (thousands),Bus Delays (min),Bus Cancellations (%),Bus Ridership (thousands),Overground Delays (min),Overground Cancellations (%),Overground Ridership (thousands),Tram Delays (min),Tram Cancellations (%),Tram Ridership (thousands),DLR Delays (min),DLR Cancellations (%),DLR Ridership (thousands),National Rail Delays (min),National Rail Cancellations (%),National Rail Ridership (thousands)
01/01/2019,8.1,0,30,Clear,1,0,282,4,1,135,1,2,142,2,0,109,2,1,122,2,1,107
02/01/2019,6.6,25,31,Thunderstorm,12,4,180,21,12,67,21,15,147,32,10,60,30,11,62,27,8,141
03/01/2019,5.4,0,21,Clear,2,0,319,4,2,145,3,2,104,2,0,116,3,1,141,2,1,127
04/01/2019,4.3,0,16,Partly Cloudy,3,0,280,4,1,136,4,0,118,1,2,131,2,0,116,2,1,132
05/01/2019,5.6,0,17,Partly Cloudy,3,1,311,3,1,121,1,0,102,4,1,125,5,0,121,4,0,104
06/01/2019,4.8,51,31,Thunderstorm,16,5,190,23,14,104,32,14,82,22,10,93,32,14,51,28,11,72
07/01/2019,3.8,52,21,Thunderstorm,15,4,168,35,15,75,27,10,78,21,12,100,21,10,141,24,9,99
08/01/2019,5.5,37,30,Thunderstorm,12,4,168,29,12,104,21,14,82,23,8,109,30,8,101,23,13,67
09/01/2019,5.9,52,18,Thunderstorm,13,2,196,33,10,116,32,12,103,24,9,140,34,12,84,25,13,140
10/01/2019,6.7,0,28,Clear,1,1,304,1,0,133,1,0,127,4,1,111,4,0,116,4,1,142
11/01/2019,6.6,0,17,Clear,2,0,319,3,2,132,4,1,129,3,0,136,2,0,132,2,2,148
12/01/2019,7.3,1,34,Clear,3,1,314,2,1,143,2,0,128,5,1,129,1,1,150,2,1,144
13/01/2019,7.3,0,29,Clear,2,1,312,4,2,126,3,2,132,4,2,145,2,1,105,3,0,123
14/01/2019,6.7,32,16,Thunderstorm,10,4,168,22,12,127,23,12,59,21,12,104,30,13,148,28,10,130
15/01/2019,5.5,0,17,Clear,3,1,308,3,0,108,2,1,136,4,1,148,4,1,131,3,0,118
16/01/2019,6.1,6,16,Light Rain,2,2,285,7,2,115,7,3,112,7,4,122,5,3,121,8,5,123
17/01/2019,4.8,35,16,Thunderstorm,16,5,179,26,13,96,28,15,89,34,14,70,21,9,52,21,13,57
18/01/2019,4.4,0,15,Partly Cloudy,2,0,308,4,2,137,4,1,109,4,2,150,3,1,139,2,2,143
